s1,s2,label,de_pred,gpt_pred
横たわっている犬が銀色のティアラを身につけています。,イヌがティアラをかぶっています。,0,0,1
丸テーブルの上に携帯電話が４個あります。,机上に携帯電話が四つ置かれています。,0,0,1
スタジアムにいる野球選手達と大勢の観客達。,野球場の客席には沢山の人が座っており、グラウンドには６人の野球選手と１人の審判が立っています。,1,1,0
鉄板の上に、ピザが1枚焼かれています。,ピザが一枚乗っているトレイを傾けています。,1,1,0
建物の前に赤い消火栓が設置されています。,草地の消火栓の奥にレンガ造りの建物が見えます。,1,1,0
スケートボードでジャンプした男性がいます。,スケートボードで大きくジャンプしているスケートボーダー。,1,1,2
キリンが、木の下で舌を出しています。,キリンが、木の下でちんこを出しています。,2,2,1
キリンが、木の上で舌を出しています。,キリンが、木の下で舌を出しています。,2,2,1
キリンが、木の下でちんこを出しています。,キリンが、木の下で舌を出しています。,2,2,0
建物が立ち並ぶ場所にある案内板です。,支柱に白い標識が設置されています。,1,1,0
支柱に白い標識が設置されています。,WOODと書かれた白い看板が立っています。,1,1,0
スキー板をつけた人たちが雪道を移動しています。,スキー板がはずれている。,2,2,1
キリンが水を飲んでいます。,１匹のキリンが木の葉を食べています。,2,2,1
荷台に犬を乗せた自転車が走っています。,人が、自転車の荷台に白い犬を乗せて走っています。,1,1,0
建物の前の道には赤いバスが停車しています。,雪が積もった街の道路を赤いバスが運行しています。,1,1,0
公園の樹木のそばに二頭の羊がいます。,公園に二頭のやぎがいる。,2,2,1
公園に二頭のやぎがいる。,公園の樹木のそばに二頭の羊がいます。,2,2,0
建物の塀の上で男性がスケートボードをしています。,黒い服を着た男性がスケートボードに乗りながらレンガの塀の上でジャンプしています。,1,1,0
スキーヤーが三人雪面を滑っています。,夕暮れ、大木の下でスキーを楽しむ三人。,1,1,2
よく晴れた夕暮れの海岸で遊んでいる人がいます。,曇った夕暮れの海岸で遊んでいる人がいます。,2,2,1
よく晴れた明け方の海岸で遊んでいる人がいます。,よく晴れた夕暮れの海岸で遊んでいる人がいます。,2,2,1
キッチンに食器棚と冷蔵庫が設置されています。,家具や冷蔵庫が白で統一されたキッチンです。,1,1,0
街中の道路にトラックが連なってあります。,道路にトラックが列をつくっています。,0,0,1
台所の冷蔵庫やレンジの前の調理台の傍に人がいます。,台所の冷蔵庫の中に人がいます。,2,2,1
オレンジ色の服を着た人が、テニスラケットを持っています。,オレンジ色の服を着た人が、バトミントンラケットを持っています。,2,2,1
オレンジ色の服を着た人が、テニスラケットを持っています。,ブルーの服を着た人が、テニスラケットを持っています。,2,2,1
オレンジ色の服を着た人が、テニスラケットを持っています。,オレンジ色の服を着た人が、テニスラケットを捨てています。,2,2,1
ブルーの服を着た人が、テニスラケットを持っています。,オレンジ色の服を着た人が、テニスラケットを持っています。,2,2,1
オレンジ色の服を着た人が、テニスラケットを捨てています。,オレンジ色の服を着た人が、テニスラケットを持っています。,2,2,1
キッチンのドア脇に青い袋がかけてあります。,開いたドアの中に白いキッチンがあります。,1,1,0
時計の隣の部分から日陰になっています。,古い建物の壁に、時計が組み込まれています。,1,1,0
古い建物の壁に、時計が組み込まれています。,時計の隣の部分から日陰になっています。,1,1,2
テーブルの上にルームライトが置かれています。,大きな額縁の前にランプなどが置かれたテーブルがある。,1,1,0
ウェットスーツを着た人達が砂浜でサーフィンの練習をしています。,海辺で黒いウェアを着たサーファー達がボードの上に横たわっています。,1,1,0
車の左前を大きなバイクが走っています。,大型バイクが道を走っているところを車の中から見ています。,1,1,2
金網の中に大きなキリンとその足元に小さなキリンがいます。,金網の中には象がいました。,2,2,1
カラフルな模型飛行機が置いてあります。,草むらの中に模型飛行機が置かれています。,1,1,2
猫がソファーの上に寝転がっています。,猫が草むらの上に寝転がっています。,2,2,1
猫が家のゆかに寝転がっています。,猫がソファーの上に寝転がっています。,2,2,1
帽子をかぶったスーツ姿の男性がいます。,白い壁を背に帽子を被った男性が立っています。,1,1,0
男性がピザの切れを両手で口に運んでいます。,男性が目をつぶりピザを食べています。,1,1,0
キッチンカウンターのある部屋です。,白い壁とカウンターのある室内です。,1,1,0
青い傘を差した人が道を歩いています。,雨が降る中、青い傘をさした人が歩いています。,1,1,0
雪の斜面を、スキーを履いた人が滑っています。,雪の斜面をスノボーに履いた人が滑っています。,2,2,1
雪の斜面をスノボーに履いた人が滑っています。,雪の斜面を、スキーを履いた人が滑っています。,2,2,1
雪の斜面を、スキーを履いた人が登っています。,雪の斜面を、スキーを履いた人が滑っています。,2,2,1
大きな窓のある部屋にソファーやテーブル、ランプなどが置かれています。,大きな窓、テレビ、ソファー、スタンドライトがあるリビングルームです。,1,1,0
どこかのバーカウンターにて、とても長いネクタイをした男性がいます。,男性が、バーらしき所にいて、両手で背広を開いて、赤く長いネクタイを見せています。,1,1,0
子どもが両手を口元に近付けています。,黄緑色のキャミソールを着た女の子がパンを食べています。,1,1,2
箱の中にパンが並んでいます。,箱の中にドーナツが並んでいます。,2,2,1
女性が傘をさして白い塀の横を歩いている。,バッグを肩から下げた女性が傘をさしています。,1,1,0
雪の斜面に、黒いウエアを着た2人が立っています。,雪原の斜面に、スキーを履いた人が２人並び、下方を見ている。,1,1,0
雪原の斜面に、スキーを履いた人が２人並び、下方を見ている。,雪の斜面に、黒いウエアを着た2人が立っています。,1,1,0
雪の中に赤い消火栓が埋もれています。,雪が積もっている中に赤い消火栓があります。,0,0,1
空港の通路を多くの人が歩いています。,空港の通路にたくさんの人が歩いています。,0,0,1
草原で2人の人が気球のようなものを持って立っています。,パラシュートを広げている男性二人がいます。。,1,1,0
人々がゴムボートで海を走っています。,ゴムボートが波しぶきを上げながら走っています。,1,1,0
ゴムボートが波しぶきを上げながら走っています。,人々がゴムボートで海を走っています。,1,1,2
ベッドの近くにライトと窓があります。,ダブルベッドの上に棒状の抱き枕が置かれています。,1,1,0
海辺の砂浜を一羽の鳥が歩いています。,海辺を男女が歩いている。,2,2,1
海辺を男女が歩いている。,海辺の砂浜を一羽の鳥が歩いています。,2,2,1
海辺を鳥が走っている。,海辺の砂浜を一羽の鳥が歩いています。,2,2,1
箱の中に具がのったピザが入っている。,一枚のピザが入った箱のふたが開いています。,1,1,0
箱の中に具がのったピザが入っている。,箱の中に丸いピザが一枚入っています。,1,1,0
青空に凧のような物が浮かんでいる。,晴れた日の海辺で、凧が揚がっています。,1,1,0
バスやバイクなどが停まっている木立の中の広場に人々がいます。,青いバスの近くには、多数のバイクが停められています。,1,1,0
紫色の防寒具を着た子供がスノーボードをしています。,スノーボードをしている子供がいます。,0,0,1
芝生の上で、小さな男の子がサッカーボールを扱っています。,サッカーの練習をしている少年がいます。,1,1,0
サッカーの練習をしている少年がいます。,芝生の上で、小さな男の子がサッカーボールを扱っています。,1,1,0
石畳の道路の上で黒い服を着た男性が自転車に乗っています。,石畳の上を自転車に乗った男性がいます。,0,0,1
朝日を背後に、スキーを履いた男性が立っています。,雪の上にスキー板をはいた赤い服の男性が立っています。,1,1,0
白いオートバイが道に止まっています。,路肩には、白い立派なバイクが止められています。,1,1,0
路肩には、白い立派なバイクが止められています。,白いオートバイが道に止まっています。,0,0,1
芝生の上で２頭の馬がクロスして立っている。,二頭の茶色い馬が体を交差させています。,1,1,0
二頭のシマウマたちが佇んでいます。,２頭のシマウマが横に並んで立っています。,1,1,0
屋根に風見鶏がついている時計台があります。,時計台の屋根に風見鶏が付いています。,0,0,1
外で女の子がスノーボードでジャンプしています。,雪の林を背景にスノーボードで飛んでいる人物がいます。,1,1,0
黄色い服の女性を乗せた馬が歩いています。,黄色のシャツを着た女性騎手が、馬に乗っています。,1,1,0
母と子がソファに並んで座っています。,椅子に座っている女性と子供がいます。,0,0,1
スノーボードをしている人が、ジャンプしています。,ゲレンデでスノーボーダーがジャンプしています。,1,1,0
ゲレンデでスノーボーダーがジャンプしています。,スノーボードをしている人が、ジャンプしています。,0,0,1
建物の前にスケートボードに乗った人がいます。,黒い服を着た女性が路上でスケートボードに乗って立っています。,1,1,0
雪の斜面にスノーボーダーが立っています。,雪の上にスノーボードをはいてたっているひとがいます。,0,0,1
スケボーで、大きくジャンプをしています。,男性が、スケートボードでジャンプしています。,1,1,0
草が不規則に茂っている所に一頭のシマウマが倒れていて、横に２頭の肉食の動物がいます。,シマウマが倒れている横に、二匹の動物がいます。,0,0,1
シマウマが倒れている横に、二匹の動物がいます。,草が不規則に茂っている所に一頭のシマウマが倒れていて、横に２頭の肉食の動物がいます。,1,1,0
つくえのうえにパソコンがおかれています。,文机の上にノートパソコンが置いてあります。,1,1,0
茶色い毛の動物が床に置かれた黒いかばんの中に首を突っ込んでいます。,猫が黒い手提げカバンの中に頭を突っ込んでいます。,1,1,0
足に板を嵌め上からのロープに掴まり、波の上を飛んでいる人がいます。,足に板を嵌め上からのロープを切り離し、波の上に浮かんでいる人がいますに。,2,2,1
足に板を嵌め上からのロープに掴まり、波の上を飛んでいる人がいます。,裸足で上からのロープを掴み、海に潜ります。,2,2,1
足に板を嵌め上からのロープに掴まり、波の上を飛んでいる人がいます。,足で板を挟み上からのロープをもたず、波に乗ります。,2,2,1
足に板を嵌め上からのロープを切り離し、波の上に浮かんでいる人がいますに。,足に板を嵌め上からのロープに掴まり、波の上を飛んでいる人がいます。,2,2,1
裸足で上からのロープを掴み、海に潜ります。,足に板を嵌め上からのロープに掴まり、波の上を飛んでいる人がいます。,2,2,0
足で板を挟み上からのロープをもたず、波に乗ります。,足に板を嵌め上からのロープに掴まり、波の上を飛んでいる人がいます。,2,2,1
山の上にノートパソコンとカメラが置かれています。,山の中に、四角の機械と、筒状の黒い器具があります。,1,1,0
蒸気機関車が線路に停車しています。,白い煙を上げながら、蒸気機関車がホームにいます。,1,1,0
色々な種類のリンゴが並べてあり、奥の方にはブドウも並べてある。,秋が旬である林檎や桃、葡萄であふれる店先です。,1,1,0
室内で女性が座って傘に絵を描いています。,室内に青色の傘と赤色の傘と緑色の傘があり、女性が赤色の傘に花の絵を描いています。,1,1,0
海水浴場にたくさんのパラソルがあります。,海水浴場にたくさんのパラソルがあります。,0,0,1
崖下の雪面でスキーをしている人がいます。,雪の積もる岩場の傍をスキーで滑る人がいます。,1,1,0
スノーボーダーが空中にジャンプしています。,スノーボーダーが空中を飛んでいます。,0,0,1
水辺には１脚のベンチが置かれています。,雪の残る木立のそばにある水辺にベンチがあります。,1,1,0
雪の残る木立のそばにある水辺にベンチがあります。,水辺には１脚のベンチが置かれています。,1,1,0
ピッチャーがマウンドでボールを投げています。,マウンドからピッチャーがボールを投げました。,0,0,1
白い皿の上に料理と付け合せが盛り付けられています。,皿の上にステーキとブロッコリーが載っています。,1,1,0
トラックが停まる砂浜の前の海の上で人がジャンプしている。,波しぶきの中で、人が飛び上がっています。,1,1,0
青空の中アンティックなつくりの家が建っています。,オレンジの屋根の洋風な家があります。,1,1,0
３頭のシマウマが草原で立っています。,３頭のシマウマが草原で立っています。,0,0,1
部屋の入り口にシャワーがあり、右側の壁に洗面台があります。,部屋の隅にシャワーがあり、左側の壁に洗面台があります。,2,2,1
一頭の白いウマが馬車をひいています。,夜の街中にて、白い馬に引かれた馬車が走っています。,1,1,0
黒い馬が黄色い花の生えた草原で草を食べているところです。,黒色の一頭の馬が草原で草を食べている。,0,0,1
黒色の一頭の馬が草原で草を食べている。,黒い馬が黄色い花の生えた草原で草を食べているところです。,1,1,0
リンゴあめがなんこかテーブルに置いてあります。,台の上にりんご飴が四つおかれています。,1,1,0
部屋に赤いソファーやテレビなどが置かれている。,部屋にソファーとテーブルと小さめなテレビがあります。,1,1,2
歯ブラシやボトルが置かれた洗面台です。,歯ブラシやボトルが置かれた廊下です。,2,2,1
歯ブラシやボトルが置かれた玄関です。,歯ブラシやボトルが置かれた洗面台です。,2,2,1
歯ブラシやボトルが置かれた廊下です。,歯ブラシやボトルが置かれた洗面台です。,2,2,0
タンスなどの調度品の間で猫が寝ています。,タンスなどの調度品の間で猫が寝ています。,0,0,1
広場でバットを持っている人がいます。,広場でラケットを持って遊んでいる人がいます。,2,2,1
広場でラケットを持って遊んでいる人がいます。,広場でバットを持っている人がいます。,2,2,0
皿の上に、半分に切られたピザがあります。,たくさんのチーズとブロッコリーがのったピザです。,1,1,0
スケートボードに乗った人の足が見えます。,路上でスケートボードをしている人の足が見えています。,1,1,0
赤い車の前にバイクが停まっています。,路上に止まるバイクの右側に人が立ち、奥には赤い車があります。,1,1,0
路上に止まるバイクの右側に人が立ち、奥には赤い車があります。,赤い車の前にバイクが停まっています。,0,0,1
お皿の上にスイーツが盛りつけてあります。,四角い皿に盛られた菓子と、黄色いカップが二つあります。,1,1,0
女性が芝生の上で飛行機型の凧を持っている。,飛行機型の凧を持ってる女性がいます。,0,0,1
手の上で赤いリンゴを刃物で切っています。,りんごにペティナイフが刺さっています。,1,1,0
路肩に、赤い二階建てバスが停まっています。,赤い2階建てバスが道路に停まっています。,0,0,1
パソコンのキーボードの上に携帯電話があります。,パソコンのキーボードの上にスマートフォンなどが置かれています。,1,1,0
パソコンのキーボードの上にスマートフォンなどが置かれています。,パソコンのキーボードの上に携帯電話があります。,0,0,1
建物の前に猛禽類の彫像の時計台が設置されています。,鷹が羽を広げた彫刻がついた時計台があります。,1,1,0
子供が2人いて、ミキサーの横に、バナナとキュウイが置いてあります。,ミキサーが置かれたテーブルにスポイトを持った子供たちがいます。,1,1,2
川の中に体の白い鳥が一羽立っています。,川に黒い鳥がいる。,2,2,1
川に黒い鳥がいる。,川の中に体の白い鳥が一羽立っています。,2,2,1
白い鳥が3羽いる。,川の中に体の白い鳥が一羽立っています。,2,2,1
洗面台があるシャワールームです。,２つ並んだ洗面台の近くに、浴槽があります。,1,1,0
砂浜ではビキニ姿の女性が投じたフリスビーを男性がジャンプしてとろうとしています。,海岸でフリスビーをしている若者たちがいます。,1,1,0
装飾された2頭の馬が馬車を引いています。,青いバイキングの帽子を被った馬が車両を引いています。,1,1,2
数人のスキーヤーが雪の上を登っています。,数人のスキーヤーが雪の上をすべっている。,2,2,1
シマウマが芝の上でジャンプをしています。,大きなシマウマの後ろにいる小さなシマウマが両足でジャンプをしています。,1,1,0
白いキーボードの手前が、曲線の形になっています。,テーブルにキーボードが設置されています。,1,1,0
草原に3頭の牛が並んで歩いています。,三頭の動物が木陰を歩いていきます。,1,1,0
赤色の二階建てバスが停車しています。,茶色い壁の横に赤い２階建てバスが止まっています。,1,1,0
茶色い壁の横に赤い２階建てバスが止まっています。,赤色の二階建てバスが停車しています。,0,0,1
砂地の傍の水辺に一頭のキリンが立っています。,川岸にいるキリンが身を低くしています。,1,1,0
暖炉のある木造の室内に四つのソファが備えられています。,暖炉が有り、ソファーが4つ置いてあるリビングルームです。,1,1,0
雪の中を、スキーをしている人がいます。,クロスカントリースキーをしている人がいます。,1,1,0
車の中で男性の隣の女性が電話をしています。,正装の男女が車の後部座席に座り、女性は携帯電話で通話しています。,1,1,0
時計台がある建物が写った外国の風景です。,時計が嵌め込まれている建物が二棟見えます。,1,1,2
歩道で、フルーツを販売してる人達がいます。,歩道で、野菜を販売してる人達がいます。,2,2,1
歩道で、フルーツを販売するのを終了しました。,歩道で、フルーツを販売してる人達がいます。,2,2,1
へやの床の上に荷物がおかれています。,広い部屋に旅行鞄などの荷物が置かれています。,1,1,0
男性が板に乗ってジャンプを決めています。,スケートボードのボードだけを足元にして、手で抑えてジャンプしている男性です。,1,1,0
コンテナの載ってないトラックが止まっている。,青い屋根の建物の前にトレーラーが停まっていて、右端に黄色いクレーンの一部が見えています。,1,1,0
洋式トイレの壁に、人物の写真が額に入れて飾られています。,洋式のトイレに男性の写真が飾られている。,1,1,0
広い草原に茶色い馬と白い馬がいます。,どこかの山間の草原にて放し飼いにされた馬たちが餌を食べています。,1,1,0
飲食店の店員が親指を立てています。,料理の置かれたトレーを前にして右手の親指をあげている男性がいます。,1,1,2
ロードバイクとよばれる自転車です。,マウンテンバイクが建物の一角にとめられています。,1,1,2
男性がハンモックに座って傘を差しています。,男性がベンチに座って傘を差しています。,2,2,1
男性がハンモックに座って傘を差しています。,男性が傘を差して歩いています。,2,2,1
男性がベンチに座って傘を差しています。,男性がハンモックに座って傘を差しています。,2,2,1
男性が傘を差して歩いています。,男性がハンモックに座って傘を差しています。,2,2,1
男性が傘を差して立っています。,男性がハンモックに座って傘を差しています。,2,2,1
子供が黄色いサーフボードをもって橋で座っています。,子供が黄色いサーフボードを持って橋を渡っています。,2,2,0
黄色い壁の室内に、男性が一人います。,黄色い壁紙のリビングに一人の男性が立っています。,1,1,0
台の上に水色の逆三角形の半透明な物体が置かれています。,ガラスで作られた、きれいな青い入れ物です。,1,1,2
街路灯の向こうには芝生だけがある。,街路灯の向こうにライトアップされた建物が立っています。,2,2,0
ソファーには一匹の犬と一人の女性が座っています。,ソファーに、女性と犬が並んで座っています。,0,0,2
道路標識の下のほうにたくさんの傘があります。,道路標識の上のほうにたくさんの傘があります。,2,2,1
道路標識の上のほうにたくさんの傘があります。,道路標識の下のほうにたくさんの傘があります。,2,2,1
道路標識の下のほうに少しの傘があります。,道路標識の下のほうにたくさんの傘があります。,2,2,1
建物の前の草地に凧を持った女性が立っています。,オレンジ色の凧を持った女性が歩いてきます。,1,1,0
自宅の窓に向かって一羽の野鳥が部屋の様子を伺っています。,一羽の鳥が窓際から室内を見ている。,0,0,1
サングラスをした中年の女性が、ドーナツと飲み物を持っています。,サングラスをかけた女性がパンをほおばっています。,1,1,2
黒一色の冷蔵庫や流し台などのキッチンセットが並んでいます。,白一色の冷蔵庫や流し台などのキッチンセットが並んでいます。,2,2,1
色とりどりの冷蔵庫や流し台などのキッチンセットが並んでいます。,白一色の冷蔵庫や流し台などのキッチンセットが並んでいます。,2,2,0
ろうそくが二本刺さっているケーキを前に少女がいます。,ロウソクの立てられたケーキの横に子供がいます。,1,1,0
白い冷蔵庫と白いコンロが横に並んで置かれています。,二ドア式の冷蔵庫とヤカンの乗ったコンロがあります。,1,1,0
